Date,Global Revenue,UCAN Streaming Revenue,EMEA Streaming Revenue,LATM Streaming Revenue,APAC Streaming Revenue,UCAN Members,EMEA Members,LATM Members,APAC Members,UCAN ARPU,EMEA ARPU,LATM ARPU,APAC ARPU,Netflix Streaming Memberships 
31/03/17,2516241000,1586167000,482282000,331453000,116339000,54575000,19699000,15425000,4664000,9.84,8.57,7.46,8.81,98750000
30/06/17,2670727000,1624397000,533098000,381459000,131773000,55617000,21152000,17013000,5254000,9.83,8.7,7.84,8.86,104100000
30/09/17,2874645000,1674308000,614707000,434637000,150993000,56779000,23135000,18267000,5842000,9.93,9.25,8.21,9.07,110600000
31/12/17,3180603000,1775987000,732726000,495067000,176823000,58422000,26004000,19717000,6501000,10.28,9.94,8.69,9.55,117600000
31/03/18,3602105000,1976157000,886649000,540182000,199117000,60909000,29339000,19717000,6501000,11.04,10.68,8.79,9.55,125000000
30/06/18,3814366000,2049546000,975497000,568071000,221252000,61870000,31317000,21260000,7394000,11.13,10.72,8.6,9.36,131700000
30/09/18,3910597000,2094850000,1004749000,562307000,248691000,63010000,33836000,22795000,8372000,11.18,10.28,7.99,9.3,137100000
31/12/18,4101684000,2160979000,1096812000,567137000,276756000,64757000,37818000,24115000,9461000,11.28,10.2,7.53,9.19,144500000
31/03/19,4520992000,2256851000,1233379000,630472000,319602000,66633000,42542000,26077000,10607000,11.45,10.23,7.84,9.37,148863000
30/06/19,4923116000,2501199000,1319087000,677136000,349494000,66501000,44229000,27890000,12942000,12.52,10.13,8.14,9.29,151562000
30/09/19,5244905000,2621250000,1428040000,741434000,382304000,67114000,47355000,29380000,14485000,13.08,10.4,8.63,9.29,158334000
31/12/19,5467434000,2671908000,1562561000,746392000,418121000,67662000,51778000,31417000,16233000,13.22,10.51,8.18,9.07,167090000
31/03/20,5767691000,2702776000,1723474000,793453000,483660000,69969000,58734000,34318000,19835000,13.09,10.4,8.05,8.94,182856000
30/06/20,6148286000,2839670000,1892537000,785368000,569140000,72904000,61483000,36068000,22492000,13.25,10.5,7.44,8.96,192947000
30/09/20,6435637000,2933445000,2019083000,789384000,634891000,73081000,62242000,36324000,23504000,13.4,10.88,7.27,9.2,195151000
31/12/20,6644442000,2979505000,2137158000,788522000,684609000,73936000,66698000,37537000,25492000,13.51,11.05,7.12,9.32,203663000
31/03/21,7163282000,3170972000,2343674000,836647000,762414000,74384000,68508000,37894000,26853000,14.25,11.56,7.39,9.71,207639000
30/06/21,7341777000,3234643000,2400480000,860882000,799480000,73951000,68696000,38658000,27875000,14.54,11.66,7.5,9.74,209180000
30/09/21,7483467000,3257697000,2432239000,915297000,834002000,74024000,70500000,38988000,30051000,14.68,11.65,7.86,9.6,213563000
31/12/21,7709318000,3308788000,2523426000,964150000,870705000,75215000,74036000,39961000,32632000,14.78,11.64,8.14,9.26,221844000
31/03/22,7867767000,3350424000,2561831000,998948000,916754000,74579000,73733000,39610000,33719000,14.91,11.56,8.37,9.21,221641000
30/06/22,7970141000,3537863000,2457235000,1030234000,907719000,73283000,72966000,39624000,34799000,15.95,11.17,8.67,8.83,220672000
30/09/22,7925589000,3601565000,2375814000,1023945000,889037000,73387000,73534000,39936000,36228000,16.37,10.81,8.58,8.34,223085000
31/12/22,7852053000,3594791000,2350135000,1016846000,856711000,74296000,76729000,41699000,38023000,16.23,10.43,8.3,7.69,230747000
31/03/23,8161503000,3608645000,2517641000,1070192000,933523000,74398000,77373000,41249000,39478000,16.18,10.89,8.6,8.03,232498000
30/06/23,8187301000,3599448000,2562170000,1077435000,919273000,75571000,79807000,42466000,40546000,16,10.87,8.58,7.66,238390000
30/09/23,8541668000,3735133000,2693146000,1142811000,948216000,77321000,83760000,43645000,42427000,16.29,10.98,8.85,7.62,247153000
31/12/23,8832825000,3594791000,2783530000,1156023000,962715000,80128000,88813000,45997000,45338000,16.64,10.75,8.6,7.31,260276000
31/03/24,9370440000,4224315000,2958153000,1165008000,1022924000,82658000,91729000,47720000,47495000,17.3,10.92,8.29,7.35,269602000
30/06/24,9559310000,4295560000,3007772000,1204145000,1051833000,84109000,93964000,49250000,50324000,17.17,10.8,8.28,7.17,277647000
30/09/24,9824703000,4322476000,3133466000,1240892000,1127869000,84803000,96131000,49182000,52604000,17.06,10.99,8.4,7.31,282720000
31/12/24,10246513000,4517018000,3287604000,1229771000,1212120000,89625000,101133000,53327000,57541000,17.26,11.11,8,7.34,301626000
